フェイトウォー,ポイントインカム (SKYFLAG),11691.5,11691.5
フルハウスカジノ,COINCOME,1533,1533
フルハウスカジノ,ECナビ,165,0
ブラウザ三国志天,ECナビ (Zucks),19780,0
ブラウザ三国志天,モッピー (Zucks),19383,0
ブラウザ三国志天,げん玉 (Zucks),18988.8,0
ブラウザ三国志天,ハピタス (Zucks),17802,0
ホワイトアウト サバイバル,ワラウ,8300,8300
ホワイトアウト サバイバル,COINCOME,8100,8100
ホワイトアウト サバイバル,Powl,7570,7570
ホワイトアウト サバイバル,ちょびリッチ,7528,7528
ホワイトアウト サバイバル,モッピー (GF Rewards),7464,7464
マフィア シティ,ワラウ,62300,62300
マフィア シティ,Powl (AppDriver),0,61852.8
マフィア シティ,COINCOME,24358,55400
マフィア シティ,ハピタス (AppDriver),0,55085
ミクチャ,Powl,1750,1750
ミクチャ,モッピー,1710,1710
ミクチャ,COINCOME (SKYFLAG),1530,1530
ミクチャ,ワラウ,1500,1500
ミクチャ,アメフリ,1476,1476
ミストバレー,Powl,220,220
ミストバレー,モッピー,216,216
ミストバレー,ポイントタウン (SmaAD),204,204
ミストバレー,アメフリ,196,196
ミストバレー,げん玉 (SmaAD),194.4,194.4
メカアサルト,ワラウ,1750,1940
メカアサルト,モッピー (SKYFLAG),1122,1938
メカアサルト,アメフリ,1721,1868
メカアサルト,ポイントインカム (SKYFLAG),1069.2,1846.8
メメントモリ ランク110到達,モッピー (SKYFLAG),4534,4534
メメントモリ ランク110到達,COINCOME (SKYFLAG),4534,4534
メメントモリ ランク110到達,ワラウ (SKYFLAG),4374,4374
メメントモリ ランク110到達,ポイントインカム (SKYFLAG),4321.3,4321.3
メメントモリ ランク110到達,Powl (SKYFLAG),4268,4268
モンスターコレクト,COINCOME,1050,0
モーマンタイム,ECナビ (Zucks),13000,13000
モーマンタイム,モッピー (Zucks),12738,12738
モーマンタイム,Powl (AppDriver),11491.2,11491.2
モーマンタイム,げん玉 (Zucks),11491.2,11491.2
ライフアフター,COINCOME,875,875
ライフアフター,ワラウ,870,870
レイドラッシュ,ワラウ,5200,5200
レイドラッシュ,Powl (AppDriver),0,4156.8
レイドラッシュ,モッピー (AppDriver),0,3891
レイドラッシュ,ハピタス (AppDriver),0,3506
レイドラッシュ,げん玉 (AppDriver),0,3356
ロイヤルマッチ,Powl (AppDriver),0,2371.2
ロイヤルマッチ,モッピー (AppDriver),0,1972
ロイヤルマッチ,ちょびリッチ (AppDriver),0,1785
ロイヤルマッチ,ポモチ,0,1782
ロイヤルマッチ,ハピタス (AppDriver),0,1777
ロードモバイル,ワラウ,6000,10150
ロードモバイル,COINCOME (SKYFLAG),6107,7231
ロードモバイル,アメフリ,5888,6971
三國志 真戦,モッピー,5300,5300
三國志 真戦,COINCOME,5300,5300
三國志 真戦,Powl,5200,5200
三國志 真戦,ハピタス (SKYFLAG),5184,3744
三國志 真戦,ワラウ,4800,4800
信長の野望 天下,GMOポイ活,3280,3280
信長の野望 天下,COINCOME,2905,0
信長の野望 真戦,Powl (AppDriver),5280,5280
信長の野望 真戦,モッピー (AppDriver),5219,5219
信長の野望 真戦,ワラウ,5000,5000
出荷ぶた,Powl (AppDriver),15360,15360
出荷ぶた,ハピタス (AppDriver),13674,13674
出荷ぶた,げん玉 (AppDriver),13132.1,13132.1
出荷ぶた,ちょびリッチ (AppDriver),13014.5,13014.5
出荷ぶた,ワラウ,12820,12820
商人放浪記,ワラウ,18750,18750
商人放浪記,ハピタス (SKYFLAG),13108,17554
商人放浪記,モッピー,16662,16662
商人放浪記,COINCOME (SKYFLAG),16507,16507
喧嘩の花道,Powl (AppDriver),14400,14400
喧嘩の花道,ハピタス (AppDriver),12825,12825
喧嘩の花道,げん玉 (AppDriver),12312,12312
喧嘩の花道,ちょびリッチ (AppDriver),12204,12204
大三国志,Powl (AppDriver),1920,1920
大三国志,モッピー (AppDriver),1898,0
大三国志,ハピタス (AppDriver),1710,0
大三国志,げん玉 (AppDriver),1641.6,1459.2
大三国志,ちょびリッチ (AppDriver),1627,0
大江戸ロマンス,モッピー (GF Rewards),2455,2455
大江戸ロマンス,げん玉 (GF Rewards),2429.6,2429.6
大江戸ロマンス,ワラウ (SmaAD),2389,2389
大江戸ロマンス,アメフリ,1903,1903
大江戸ロマンス,ちょびリッチ (GF Rewards),1880,1880
実りの地 レベル30,ポイントインカム (myChips),1511.6,0
実りの地 レベル30,げん玉 (myChips),1402.9,0
実りの地 レベル30,ハピタス (myChips),1299,0
実りの地 レベル30,Powl (myChips),1298.9,0
実りの地 レベル30,ちょびリッチ (myChips),1291.5,0
小森の宿 ららら,モッピー (GF Rewards),246,1172
小森の宿 ららら,げん玉 (GF Rewards),247.6,1164.3
小森の宿 ららら,アメフリ,192,909
小森の宿 ららら,ちょびリッチ (GF Rewards),190.5,900
小森の宿 ららら,Powl (GF Rewards),189.6,890.4
成り上がり 華と武の戦国,ECナビ (Zucks),4730,2450
成り上がり 華と武の戦国,モッピー (Zucks),4633,2399
成り上がり 華と武の戦国,Powl (AppDriver),4540.8,2352
成り上がり 華と武の戦国,げん玉 (Zucks),4540.8,2352
我が天下 伝説武将,モッピー (SKYFLAG),9782,0
我が天下 伝説武将,Powl,8800,0
我が天下 伝説武将,ワラウ (SKYFLAG),8360,0
我が天下 伝説武将,ポイントインカム (SKYFLAG),8257.1,0
戦国布武 我が天下戦国編,ワラウ,10450,10450
戦国布武 我が天下戦国編,ハピタス (SKYFLAG),9954,9954
戦国布武 我が天下戦国編,モッピー (SKYFLAG),7640,7640
戦国布武 我が天下戦国編,COINCOME,4493,7460
戦国布武 我が天下戦国編,Powl,7450,7450
放置少女,GMOポイ活,2530,2530
放置少女,ワラウ,2200,1600
放置少女,アメフリ,2132,1599
放置少女,ちょびリッチ (SKYFLAG),2080,1560
旦那様の一発逆転人生,モッピー,9211,9211
旦那様の一発逆転人生,ハピタス (SKYFLAG),8809,8809
旦那様の一発逆転人生,ワラウ (SKYFLAG),8449,7028
旦那様の一発逆転人生,ポイントインカム (SKYFLAG),6941.6,8345.4
杖と剣の伝説,ECナビ (Zucks),6545,6565
杖と剣の伝説,モッピー (Zucks),6432,6432
杖と剣の伝説,Powl (AppDriver),6153.6,6153.6
杖と剣の伝説,げん玉 (Zucks),6153.6,6153.6
東京ディバンカー,モッピー,220,220
東京ディバンカー,ワラウ,210,210
東京ディバンカー,COINCOME,205,205
東京ディバンカー,Powl,200,200
獅子の如く,ECナビ (Zucks),6985,0
獅子の如く,モッピー (Zucks),6843,0
獅子の如く,げん玉 (Zucks),6705.6,0
獅子の如く,アメフリ,6300,6300
王国のドラゴン,COINCOME,0,2804
異世界のんびりライフ,ECナビ,0,7195
異世界のんびりライフ,アメフリ,0,5756
異世界のんびりライフ,モッピー (GF Rewards),0,570
異世界のんびりライフ,げん玉 (GF Rewards),0,565
異世界のんびりライフ,ちょびリッチ (GF Rewards),0,437
立ち上がれ アリ帝国,COINCOME,4032,4030
金とゴブリンの採掘ゲーム,ポイントインカム (SmaAD),3685.5,3685.5
金とゴブリンの採掘ゲーム,Powl,3520,3520
金とゴブリンの採掘ゲーム,ポイントタウン (SmaAD),3502,3502
金とゴブリンの採掘ゲーム,アメフリ,3378,3378
鳴潮,COINCOME,0,1755
聖霊伝説,Powl,1650.7,1650.7
ゴールデンタイガー,ECナビ,720,720
三国志 戦乱,Powl,1950,0
三国志 戦乱,GMOポイ活,1200,0
三国志 戦乱,COINCOME,857,1145
Bravoカジノ,Powl (AppDriver),1440,1440
Bravoカジノ,げん玉 (AppDriver),1231.2,1231.2
原神,Powl,500,500
原神,ECナビ,440,440
